"name","surname","initials","age","date_of_birth",""
"JeramyJeramyJ2530-01-1997","Jeramy","Jeramy","J","25","30-01-1997"
"RyanMercadoR6408-02-1958","Ryan","Mercado","R","64","08-02-1958"
"SamanthaJericaS7826-06-1943","Samantha","Jerica","S","78","26-06-1943"
"LuisJeriL2625-03-1996","Luis","Jeri","L","26","25-03-1996"
"MichelleJeriM322-03-2019","Michelle","Jeri","M","3","22-03-2019"
"RyanJereR6703-07-1954","Ryan","Jere","R","67","03-07-1954"
"AlbertaJeramyA1613-12-2005","Alberta","Jeramy","A","16","13-12-2005"
"RyanJennyR4502-05-1977","Ryan","Jenny","R","45","02-05-1977"
"ChristopherJeramyC1703-02-2005","Christopher","Jeramy","C","17","03-02-2005"
"JereTremblayJ5122-08-1970","Jere","Tremblay","J","51","22-08-1970"
